DropNo	X	Y	Diameter	Elongation	Circularity	Intensity	Cell ID
							SINCEL_31_Plate_95_A1
13	124.49	77.1	33.94	0	0	94.11	SINCEL_31_Plate_95_B1
35	133.18	110.73	34.07	0	0	89.35	SINCEL_31_Plate_95_C1
53	91.77	82.28	34.28	0	0	89.73	SINCEL_31_Plate_95_D1
55	303.63	50.75	32.27	0	0	83.93	SINCEL_31_Plate_95_E1
72	109.72	70.22	29.32	0	0	115.63	SINCEL_31_Plate_95_F1
79	147.1	92.46	29.19	0	0	114.73	SINCEL_31_Plate_95_G1
85	168.61	65.27	32.64	0	0	92.54	SINCEL_31_Plate_95_H1
87	150.61	81.48	30.37	0	0	110.37	SINCEL_31_Plate_95_A2
90	167.95	102.58	33.42	0	0	89.28	SINCEL_31_Plate_95_B2
166	92.28	61.43	27.5	0	0	110.23	SINCEL_31_Plate_95_C2
191	67.63	95.34	29.11	0	0	84.59	SINCEL_31_Plate_95_D2
193	291.24	72.41	31.1	0	0	101.16	SINCEL_31_Plate_95_E2
205	121.76	80.73	33.28	0	0	89.28	SINCEL_31_Plate_95_F2
214	302.23	57.35	33.22	0	0	79.95	SINCEL_31_Plate_95_G2
291	154.07	114.59	28.77	0	0	107.78	SINCEL_31_Plate_95_H2
292	117.69	63.96	33.16	0	0	104.42	SINCEL_31_Plate_95_A3
299	165.46	56.66	32.64	0	0	98.01	SINCEL_31_Plate_95_B3
303	169.58	87.52	28.65	0	0	111.35	SINCEL_31_Plate_95_C3
304	305.7	122.43	33.49	0	0	79.23	SINCEL_31_Plate_95_D3
315	167.47	83.03	30.22	0	0	110.54	SINCEL_31_Plate_95_E3
330	127.51	60.69	30.01	0	0	111.66	SINCEL_31_Plate_95_F3
341	153.51	76.36	29.53	0	0	113.24	SINCEL_31_Plate_95_G3
342	108.48	90.45	37.65	0	0	71.24	SINCEL_31_Plate_95_H3
354	208.52	87.58	38.7	0	0	72.31	SINCEL_31_Plate_95_A4
396	207.33	61.62	34.1	0	0	82.12	SINCEL_31_Plate_95_B4
406	196.26	96.69	28.94	0	0	109.18	SINCEL_31_Plate_95_C4
423	273.66	64.33	34.43	0	0	67.72	SINCEL_31_Plate_95_D4
426	142.47	90.15	30.08	0	0	117.22	SINCEL_31_Plate_95_E4
463	168.54	108.76	34.05	0	0	92.78	SINCEL_31_Plate_95_F4
478	172.08	75.59	34.23	0	0	88.29	SINCEL_31_Plate_95_G4
522	138.38	71.65	29.93	0	0	102.86	SINCEL_31_Plate_95_H4
527	101.06	70.21	29.58	0	0	116.95	SINCEL_31_Plate_95_A5
535	112.16	60.57	31.08	0	0	98.52	SINCEL_31_Plate_95_B5
546	158.4	70.01	30.1	0	0	107.29	SINCEL_31_Plate_95_C5
567	124.73	98.52	31.09	0	0	106.23	SINCEL_31_Plate_95_D5
575	147.61	116.17	34.4	0	0	92.08	SINCEL_31_Plate_95_E5
584	178.62	106.24	30.43	0	0	111.91	SINCEL_31_Plate_95_F5
602	109.7	74.39	27.94	0	0	117.52	SINCEL_31_Plate_95_G5
611	273.71	89.45	38.72	0	0	72.05	SINCEL_31_Plate_95_H5
615	177.27	112.23	34	0	0	90.86	SINCEL_31_Plate_95_A6
623	179.69	56.07	31.2	0	0	94.92	SINCEL_31_Plate_95_B6
644	110.53	83.44	40.19	0	0	78.24	SINCEL_31_Plate_95_C6
650	89.14	75.65	28.3	0	0	109.64	SINCEL_31_Plate_95_D6
652	307.18	52.19	31.26	0	0	85.36	SINCEL_31_Plate_95_E6
660	117.88	101.18	34.64	0	0	81.5	SINCEL_31_Plate_95_F6
678	154.66	95.96	37.1	0	0	77.59	SINCEL_31_Plate_95_G6
741	114.91	108.54	32.56	0	0	113.14	SINCEL_31_Plate_95_H6
83	220.39	69.91	39.52	0	0	106.56	SINCEL_33_Plate_100_A7
96	109.24	105.39	29.63	0	0	115.39	SINCEL_33_Plate_100_B7
204	291.93	55.32	32.88	0	0	91.6	SINCEL_33_Plate_100_C7
243	173.23	93.31	36.98	0	0	83.03	SINCEL_33_Plate_100_D7
305	308.37	67.27	36.87	0	0	81.91	SINCEL_33_Plate_100_E7
321	195.83	65.77	30.84	0	0	113.85	SINCEL_33_Plate_100_F7
354	191.63	72.26	33.21	0	0	120.53	SINCEL_33_Plate_100_G7
466	294.69	124.27	36.22	0	0	104.93	SINCEL_33_Plate_100_H7
551	273.48	104.38	42.62	0	0	102.83	SINCEL_33_Plate_100_A8
692	203.97	69.24	32.04	0	0	105.31	SINCEL_33_Plate_100_B8
717	213.74	60.57	33.67	0	0	128.58	SINCEL_33_Plate_100_C8
727	156.98	75.88	29.52	0	0	96.7	SINCEL_33_Plate_100_D8
763	181.78	81.89	33.97	0	0	96.84	SINCEL_33_Plate_100_E8
1051	218.96	121.56	33.43	0	0	130.99	SINCEL_33_Plate_100_F8
1101	241.2	62.2	32.08	0	0	136.81	SINCEL_33_Plate_100_G8
1327	168.92	75.41	32.1	0	0	144.34	SINCEL_33_Plate_100_H8
1406	274.27	126.4	35.29	0	0	118.6	SINCEL_33_Plate_100_A9
1442	274.2	91.81	43.41	0	0	88.55	SINCEL_33_Plate_100_B9
1772	198.79	70.55	39.29	0	0	92.93	SINCEL_33_Plate_100_C9
1884	219.65	112.96	32.77	0	0	130.44	SINCEL_33_Plate_100_D9
1893	197.23	76.82	34.46	0	0	108.19	SINCEL_33_Plate_100_E9
2162	148.84	76.57	30.65	0	0	115.65	SINCEL_33_Plate_100_F9
2188	237.58	95.83	40.41	0	0	85.38	SINCEL_33_Plate_100_G9
2227	272.35	55.86	33.7	0	0	117.17	SINCEL_33_Plate_100_H9
23	270.49	76.42	34.18	0	0	118.54	SINCEL_32_Plate_97_A10
57	183.29	76.25	36.82	0	0	94.56	SINCEL_32_Plate_97_B10
347	185.3	108.12	36.56	0	0	127.76	SINCEL_32_Plate_97_C10
393	90.44	105.86	31.54	0	0	128.58	SINCEL_32_Plate_97_D10
540	185.64	83.28	38.64	0	0	93.14	SINCEL_32_Plate_97_E10
609	280.42	123.27	34.69	0	0	145.14	SINCEL_32_Plate_97_F10
722	237.57	71.05	34.05	0	0	115.32	SINCEL_32_Plate_97_G10
783	228.52	110.07	37.56	0	0	121.89	SINCEL_32_Plate_97_H10
799	115.1	100.95	34.31	0	0	144.7	SINCEL_32_Plate_97_A11
807	163.05	62.39	33.91	0	0	124.47	SINCEL_32_Plate_97_B11
854	165.59	90.08	40.79	0	0	90.11	SINCEL_32_Plate_97_C11
1263	154.15	71.86	39.26	0	0	109.32	SINCEL_32_Plate_97_D11
1301	250.4	61.15	33.01	0	0	114.87	SINCEL_32_Plate_97_E11
1317	154.26	94.61	40.83	0	0	114.2	SINCEL_32_Plate_97_F11
1326	212.25	109.08	40.74	0	0	112.51	SINCEL_32_Plate_97_G11
1447	204.61	79.97	31.96	0	0	126.95	SINCEL_32_Plate_97_H11
1494	153.34	79.47	39.51	0	0	111.53	SINCEL_32_Plate_97_A12
1669	146.27	82.89	38.44	0	0	115.3	SINCEL_32_Plate_97_B12
1707	150.2	71.81	37.23	0	0	129.52	SINCEL_32_Plate_97_C12
1751	134.16	62.92	38.64	0	0	111.22	SINCEL_32_Plate_97_D12
1795	305.27	113.18	39.47	0	0	96.52	SINCEL_32_Plate_97_E12
1823	154.11	97.18	34.46	0	0	136.04	SINCEL_32_Plate_97_F12
2031	147.05	73.63	32.65	0	0	145.93	SINCEL_32_Plate_97_G12
2051	157.16	90.89	35.08	0	0	137.29	SINCEL_32_Plate_97_H12
