DropNo	X	Y	Diameter	Elongation	Circularity	Intensity	Cell ID
							SINCEL_31_Plate_95_A1
13	126.9	75.78	18.82	1.37	1.02	49.32	SINCEL_31_Plate_95_B1
35	134.26	106.65	19.09	1.27	1.01	56.99	SINCEL_31_Plate_95_C1
53	99.65	79.77	18.6	1.31	1.02	48.55	SINCEL_31_Plate_95_D1
55	301.5	52.23	18.78	1.32	1.02	47.43	SINCEL_31_Plate_95_E1
72	111.36	69.25	17.92	1.49	1.04	56.1	SINCEL_31_Plate_95_F1
79	147.2	92.44	18.03	1.69	1.07	61.76	SINCEL_31_Plate_95_G1
85	169.54	66.99	21.19	1.33	1.02	57.94	SINCEL_31_Plate_95_H1
87	151.31	81.26	19.79	1.57	1.05	60.9	SINCEL_31_Plate_95_A2
90	167.02	102.52	19.6	1.28	1.02	50.03	SINCEL_31_Plate_95_B2
166	95.31	58.95	18.11	1.55	1.05	54.27	SINCEL_31_Plate_95_C2
191	79.37	97.35	17.3	1.32	1.02	50.72	SINCEL_31_Plate_95_D2
193	290.27	72.9	19.53	1.56	1.05	60.56	SINCEL_31_Plate_95_E2
205	121.62	79.76	16.66	1.31	1.02	49.44	SINCEL_31_Plate_95_F2
214	301.71	56.93	19.94	1.27	1.01	45.86	SINCEL_31_Plate_95_G2
291	155.03	114.47	16.81	1.27	1.01	58.42	SINCEL_31_Plate_95_H2
292	119.61	64.78	19.5	1.46	1.04	50.29	SINCEL_31_Plate_95_A3
299	167.41	57.59	18.57	1.31	1.02	48.18	SINCEL_31_Plate_95_B3
303	170.93	88	17.84	1.57	1.05	59.06	SINCEL_31_Plate_95_C3
304	305.3	120.65	18.28	1.25	1.01	50.56	SINCEL_31_Plate_95_D3
315	166.95	85.22	18.09	1.59	1.05	63.86	SINCEL_31_Plate_95_E3
330	129.44	58.91	18.99	1.72	1.07	57.8	SINCEL_31_Plate_95_F3
341	153.68	75.23	19.39	1.58	1.05	60.56	SINCEL_31_Plate_95_G3
342	109.63	89.03	18.31	1.28	1.02	49.28	SINCEL_31_Plate_95_H3
354	208.99	86.85	20.73	1.46	1.04	49.09	SINCEL_31_Plate_95_A4
396	205.68	64.31	17.86	1.38	1.03	46.91	SINCEL_31_Plate_95_B4
406	194.6	96.24	18.39	1.63	1.06	62.54	SINCEL_31_Plate_95_C4
423	275.26	64.29	18.59	1.41	1.03	44.72	SINCEL_31_Plate_95_D4
426	145.05	91.36	18.98	1.69	1.07	58.58	SINCEL_31_Plate_95_E4
463	166.13	108.41	17.99	1.36	1.02	50.25	SINCEL_31_Plate_95_F4
478	170.83	75.45	19.02	1.26	1.01	51.3	SINCEL_31_Plate_95_G4
522	137.39	70.66	19.48	1.58	1.05	63.41	SINCEL_31_Plate_95_H4
527	104.37	66.72	18.94	1.33	1.02	55.75	SINCEL_31_Plate_95_A5
535	112.77	59.94	17.82	1.33	1.02	47.39	SINCEL_31_Plate_95_B5
546	157.79	70.26	18.8	1.72	1.07	62.14	SINCEL_31_Plate_95_C5
567	125.49	97.79	20.64	1.67	1.07	64.34	SINCEL_31_Plate_95_D5
575	147.42	110.74	19.96	1.18	1.01	53.37	SINCEL_31_Plate_95_E5
584	178.01	108.29	19.26	1.58	1.05	60.4	SINCEL_31_Plate_95_F5
602	110.3	72.72	17.06	1.33	1.02	57.06	SINCEL_31_Plate_95_G5
